ID,TITLE,BRAND,RATING,COUNT_OF_RATE,CURRENT_PRICE,SHIPPING_PRICE,TOTAL_PRICE,IMG_URL,ITEM_URL,MAX_RESOLUTION,DISPLAY_PORT,HDMI,DIRECT_X,MODEL,CREATED_TIME
1B9-00ND-00033,MAXSUN MS-GT1030 2G M.2 Gaming Video Graphics Card 64bit 1227MHz 6000MHz GDDR5 HD DVI,MAXSUN,0.0,0,172.74,0.0,172.74,https://c1.neweggimages.com/ProductImageCompressAll300/AGKHS200911fMnxv.jpg,https://www.newegg.com/p/1B9-00ND-00033,,,,,MS-GT1030,2023-03-23 10:45:10
1B9-00ND-00060,MAXSUN MS-GT1030 2G M.2 Gaming Video Graphics Card 64bit 1227MHz 6000MHz GDDR5 HD DVI,MAXSUN,0.0,0,170.0,0.0,170.0,https://c1.neweggimages.com/ProductImageCompressAll300/AGKHS200911mwIjm.jpg,https://www.newegg.com/p/1B9-00ND-00060,,,,,MS-GT1030 26641,2023-03-23 10:45:10
1DW-000W-00026,XFX GTS Black Edition RX 580 8GB OC+ 1425MHz RX-580P8DBD6 DDR5 3xDP HDMI DVI With XFX Custom Backplate,XFX,4.6,21,580.0,0.0,580.0,https://c1.neweggimages.com/ProductImageCompressAll300/AD2C_131370234870469598k9deYvPujU.jpg,https://www.newegg.com/xfx-rx-580/p/1DW-000W-00026,,,,,RX-580P8DBD6,2023-03-23 10:45:10
1DW-000Y-00066,MSI G103024PC NVIDIA GeForce GT 1030 2GD4 LP OC 2GB DDR4 HDMI & DisplayPort Low Profile PCI-Express Video Card,MSI,0.0,0,130.06,0.0,130.06,https://c1.neweggimages.com/ProductImageCompressAll300/V06W_1_201808011399891377.jpg,https://www.newegg.com/msi-nvidia-geforce-gt-1030-g103024pc/p/1DW-000Y-00066,,1 x DisplayPort,1 x HDMI,,G103024PC,2023-03-23 10:45:10
1DW-000Y-00086,"MSI G1650VXS4C GeForce GTX 1650 Vetus XS OC 4GB Video Card, Black",MSI,0.0,0,263.76,0.0,263.76,https://c1.neweggimages.com/ProductImageCompressAll300/V06W_1_20190626830330875.jpg,https://www.newegg.com/p/1DW-000Y-00086,,,,,G1650VXS4C,2023-03-23 10:45:10
1DW-001Z-00042,PowerColor Red Dragon RX 550 4GB GDDR5 Graphics Card (AXRX-550-4GBD5-DH),PowerColor,3.6,7,365.8,0.0,365.8,https://c1.neweggimages.com/ProductImageCompressAll300/V0RGD201102BSMP5.jpg,https://www.newegg.com/powercolor-radeon-rx-550-axrx-550-4gbd5-dh/p/1DW-001Z-00042,4096 x 2160,1 x DisplayPort,,,AXRX-550-4GBD5-DH,2023-03-23 10:45:10
1DW-0027-001D5,ASUS GTX1660 SUPER DUAL-GTX1660S-6G-EVO GDDR6,ASUS,0.0,0,1036.0,0.0,1036.0,https://c1.neweggimages.com/ProductImageCompressAll300/AGBAS210103TV9Mx.jpg,https://www.newegg.com/p/1DW-0027-001D5,,,,,DUAL-GTX1660S-6G-E,2023-03-23 10:45:10
1DW-005D-00013,"Colorful iGame GeForce RTX 3070 Ultra OC 8G 1725-1770Mhz GDDR6 256bit Video Gaming Computer Graphics Card Support DirectX 12 Ultimate/OpenGL4.6, Display Ports HDMI/DP",Colorful,0.0,0,1034.0,49.99,1083.99,https://c1.neweggimages.com/ProductImageCompressAll300/AZ7RS210623LRJyu.jpg,https://www.newegg.com/colorful-model-igame-geforce-rtx-3070-ultra-oc/p/1DW-005D-00013,,,,,iGame GeForce RTX 3070 Ultra OC,2023-03-23 10:45:10
1DW-005D-00014,"Colorful iGame GeForce RTX 3070 Ultra W OC 8G 1725-1770Mhz GDDR6 256bit Video Gaming Computer Graphics Card Support DirectX 12 Ultimate/OpenGL4.6, Display Ports HDMI/DP (White)",Colorful,0.0,0,994.38,49.99,1044.37,https://c1.neweggimages.com/ProductImageCompressAll300/AZ7RS210623Sb9gM.jpg,https://www.newegg.com/colorful-model-igame-geforce-rtx-3070-ultra-w-oc/p/1DW-005D-00014,,,,,iGame GeForce RTX 3070 Ultra W OC,2023-03-23 10:45:10
1DW-009S-00039,"MAXSUN NVIDIA GEFORCE GT 1030 2GB ITX Graphics Card GPU GDDR5 Mini ITX Design, HDMI, DVI-D, Single Fan Cooling System",MAXSUN,5.0,1,108.99,0.0,108.99,https://c1.neweggimages.com/ProductImageCompressAll300/AXZZS21042707VWI.jpg,https://www.newegg.com/maxsun-model-nvidia-geforce-gt-1030/p/1DW-009S-00039,4096 x 2160,,1 x HDMI,,MS-GT1030TRANSFORMER2G,2023-03-23 10:45:10
1DW-009S-00040,"MAXSUN NVIDIA GEFORCE GT 710 1GB Video Graphics Card GPU, Support DirectX 12 OpenGl 4.5, Low Profile, Low Consumption, VGA, DVI-D, HDMI, HDCP, Silent",MAXSUN,0.0,0,58.99,0.0,58.99,https://c1.neweggimages.com/ProductImageCompressAll300/AXZZS210510sOCdI.jpg,https://www.newegg.com/maxsun-model-ms-gt710hammerii1g/p/1DW-009S-00040,,,1 x HDMI,DirectX 12,MS-GT710HAMMERII1G,2023-03-23 10:45:10
1DW-00KJ-00001,SRhonyra GeForce GTX1050 4G GDDR5 low profile  gpu HDMI DP port low profile video card,SRhonyra,0.0,0,183.0,0.0,183.0,https://c1.neweggimages.com/ProductImageCompressAll300/BJXUD2302240GQT3WA8.jpg,https://www.newegg.com/srhonyra-geforce-gtx-1050-sr105d5lp4g1/p/1DW-00KJ-00001,,,,,SR105D5LP4G1,2023-03-23 10:45:10
1DW-00KJ-00003,SRhonyra GeForce GTX 1050 Ti 4G GDDR5 low profile video card PCI Express 3.0 x16  HDMI DP port low profile gpu,SRhonyra,0.0,0,196.0,0.0,196.0,https://c1.neweggimages.com/ProductImageCompressAll300/BJXUD2302240GQT2KD5.jpg,https://www.newegg.com/srhonyra-geforce-gtx-1050-ti-geforce-gtx-1050ti/p/1DW-00KJ-00003,,,,,SR105TD5LP4G1,2023-03-23 10:45:10
1DW-00KJ-00004,SRhonyra AMD RX550 4G GDDR5 low profile video card  HDMI DP port low profile gpu,SRhonyra,0.0,0,118.0,0.0,118.0,https://c1.neweggimages.com/ProductImageCompressAll300/BJXUD2302240GQT3B79.jpg,https://www.newegg.com/srhonyra-amd-rx-550-sr55d5lp4g1/p/1DW-00KJ-00004,,,,,SR55D5LP4G1,2023-03-23 10:45:10
1DW-00KJ-00007,SRhonyra GeForce GTX 1650 2HDMI Multi-Monitors Video Card LP 4GB GDDR5 128Bit LP Low Profile Super Compact Graphics Card GPU,SRhonyra,0.0,0,219.0,0.0,219.0,https://c1.neweggimages.com/ProductImageCompressAll300/BJXUD2303010M5BD193.jpg,https://www.newegg.com/srhonyra-geforce-gtx-1650-sr16552h41/p/1DW-00KJ-00007,,,,,SR16552H41,2023-03-23 10:45:10
1DW-00KJ-00009,SRhonyra GEFORE GTX 750 4 Monitors Video Card 4HDMI Multi-Monitors Dedicated GraphicsCard 2G PCI Express 3.0 16X,SRhonyra,0.0,0,159.0,0.0,159.0,https://c1.neweggimages.com/ProductImageCompressAll300/BJXUD230302063TY2BC.jpg,https://www.newegg.com/srhonyra-geforce-gtx-750-sr754h21/p/1DW-00KJ-00009,,,,,SR754H21,2023-03-23 10:45:10
1DW-00KJ-00010,SRhonyra Radeon AMD R7 350 HD 7750 6 Monitors Video Card 2GB GDDR5 GPU 6HDMI Graphics card,SRhonyra,0.0,0,139.9,0.0,139.9,https://c1.neweggimages.com/ProductImageCompressAll300/BJXUS2303150JA18Y2E.jpg,https://www.newegg.com/srhonyra-radeon-r7-350-sr356h21/p/1DW-00KJ-00010,,,,,SR356H21,2023-03-23 10:45:10
1DW-00KJ-00012,SRhonyra Rx 580 8GB 6 monitors Graphics Card 6HDMI video card 6-Screen Projection Fusion Stock trading Splicing Large Screen,SRhonyra,0.0,0,399.0,0.0,399.0,https://c1.neweggimages.com/ProductImageCompressAll300/BJXUS2303020I2EUXAC.jpg,https://www.newegg.com/srhonyra-radeon-rx-580-sr586h81/p/1DW-00KJ-00012,,,,,SR586H81sr,2023-03-23 10:45:10
1DW-00KJ-00014,SRhonyra 6 Monitor Video Card AMD Radeon R7 350  6VGA Graphics Card 128 bits GDDR5 4G Multi-Display Video Adapter GPU PCIe 3.0 16X,SRhonyra,0.0,0,155.0,0.0,155.0,https://c1.neweggimages.com/ProductImageCompressAll300/BJXUS2303030K48S5EB.jpg,https://www.newegg.com/srhonyra-radeon-r7-350-sr356v41/p/1DW-00KJ-00014,,,,,SR356V41,2023-03-23 10:45:10
1FT-0004-000S9,NVIDIA Tesla Tesla M2090 Graphic Card - 1.30 GHz Core - 6 GB GDDR5 - PCI Express x16,NVIDIA,0.0,0,488.0,0.0,488.0,https://c1.neweggimages.com/ProductImageCompressAll300/AE8D_131879307374490286iA6MMVx8v7.jpg,https://www.newegg.com/p/1FT-0004-000S9,,,,,M2090,2023-03-23 10:45:10
1FT-0004-000U2,EVGA NVIDIA GeForce GTX 950 Superclocked 2GB GDDR5 DVI/HDMI/3DisplayPort,NVIDIA,0.0,0,335.0,0.0,335.0,https://c1.neweggimages.com/ProductImageCompressAll300/A30R_1_20160627889964758.jpg,https://www.newegg.com/p/1FT-0004-000U2,,,,DirectX 12,SNVC66671,2023-03-23 10:45:10
1FT-0004-000U5,EVGA VGA NVIDIA GeForce GTX 960 Gaming 2GB SuperSC GDDR5 DVI/HDMI/ Video Card,NVIDIA,0.0,0,329.0,0.0,329.0,https://c1.neweggimages.com/ProductImageCompressAll300/A30R_1_20160627829639011.jpg,https://www.newegg.com/p/1FT-0004-000U5,,,,DirectX 12,SNVC66670,2023-03-23 10:45:10
1FT-0004-000X8,EVGA NVIDIA GeForce GTX 960 2GB GDDR5 DVI/HDMI/3DisplayPort pci-e Video,NVIDIA,0.0,0,329.0,0.0,329.0,https://c1.neweggimages.com/ProductImageCompressAll300/A30R_1_2016062770277175.jpg,https://www.newegg.com/p/1FT-0004-000X8,,,,,SNVC66661,2023-03-23 10:45:10
1FT-0004-00104,Nvidia Tesla K10 8GB GDDR5 GK104 Kepler Dual GPU Graphics Processing Unit,NVIDIA,0.0,0,196.0,0.0,196.0,https://c1.neweggimages.com/ProductImageCompressAll300/AA4T_131182769764757841cc9EMKx6WE.jpg,https://www.newegg.com/p/1FT-0004-00104,,,,,K10,2023-03-23 10:45:10
1FT-0004-00157,Nvidia GRID K1 16GB DDR3 Quad GK107 Kepler PCIe 3.0 x16 Multi-GPU,NVIDIA,0.0,0,399.0,0.0,399.0,https://c1.neweggimages.com/ProductImageCompressAll300/AA4T_1312086711404381432cVrVIGpS1.jpg,https://www.newegg.com/p/1FT-0004-00157,,,,,GRID K1,2023-03-23 10:45:10
1FT-0004-00164,nVidia Quadro FX 370 LP 256MB DMS59 Dual Monitor Video Card,NVIDIA,0.0,0,71.0,18.0,89.0,https://c1.neweggimages.com/ProductImageCompressAll300/AA4T_131211933903177528OS3BYkxl72.jpg,https://www.newegg.com/p/1FT-0004-00164,,,,,VCQFX370LP-PCIE-T,2023-03-23 10:45:10
1FT-0004-00169,Nvidia Quadro M6000 12GB GDDR5 PCIe 3.0 x16 GPU Graphics Card HP L2K02AA J0G92A   813596-001,NVIDIA,0.0,0,1085.0,0.0,1085.0,https://c1.neweggimages.com/ProductImageCompressAll300/AA4T_131213651320710449u7Vs6lJFrl.jpg,https://www.newegg.com/p/1FT-0004-00169,,,,,813596-001,2023-03-23 10:45:10
1FT-0004-00171,Nvidia Quadro NVS G84-711-A2 Laptop Video Card for HP 8710p 8710w 450484-001,NVIDIA,0.0,0,31.0,18.0,49.0,https://c1.neweggimages.com/ProductImageCompressAll300/AA4T_131213660056844130y3SEirMyjF.jpg,https://www.newegg.com/p/1FT-0004-00171,,,,,G84-711-A2,2023-03-23 10:45:10
1FT-0004-00175,nVidia Quadro 600 1GB DDR3 PCIe x16 DVI DisplayPort Video Graphics Card OEM,NVIDIA,0.0,0,88.0,0.0,88.0,https://c1.neweggimages.com/ProductImageCompressAll300/AA4T_131214619720635206Y1JDUGa2QD.jpg,https://www.newegg.com/p/1FT-0004-00175,,,,,600_24,2023-03-23 10:45:10
1FT-0004-00176,nVidia Quadro 600 1GB DDR3 PCIe x16 DVI DisplayPort Video Graphics Card OEM,NVIDIA,0.0,0,88.0,0.0,88.0,https://c1.neweggimages.com/ProductImageCompressAll300/AA4T_131214674084035123T56wcbWSt6.jpg,https://www.newegg.com/nvidia-600/p/1FT-0004-00176,,,,,600-25,2023-03-23 10:45:10
1FT-0004-001B0,NVIDIA GeForce Titan X (Pascal) (900-1G611-2500-000) 12GB 384-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card,NVIDIA,0.0,0,895.0,0.0,895.0,https://c1.neweggimages.com/ProductImageCompressAll300/ADRA_131409119221213988TUfl8vohjP.jpg,https://www.newegg.com/nvidia-geforce-gtx-titan-x-900-1g611-2500-000/p/1FT-0004-001B0,7680 x 4320,3 x DisplayPort,,,900-1G611-2500-000,2023-03-23 10:45:10
1FT-0004-001C6,Nvidia GRID K2 Reverse Airflow Dual GPU 8 GB 900-52055-6310-001,NVIDIA,0.0,0,695.0,0.0,695.0,https://c1.neweggimages.com/ProductImageCompressAll300/AA4T_131481713476969212JesJwCj7T4.jpg,https://www.newegg.com/p/1FT-0004-001C6,,,,,900-52055-6310-001,2023-03-23 10:45:10
1FT-0004-001D1,600-20607-0206-201 Tesla M1060 4GB DDR5 Video Card 643N0 PCI-EXPRESS VIDEO CARDS,NVIDIA,0.0,0,552.0,0.0,552.0,https://c1.neweggimages.com/ProductImageCompressAll300/ACTN_1_201708291260205805.jpg,https://www.newegg.com/p/1FT-0004-001D1,,,,,600-20607-0206-201,2023-03-23 10:45:10
1FT-0004-001F3,nVidia Quadro NVS 420 NVS420 512MB Quad Display 4 Monitor Professional Video Card,NVIDIA,0.0,0,163.0,0.0,163.0,https://c1.neweggimages.com/ProductImageCompressAll300/AE7U_1_201709301242401484.jpg,https://www.newegg.com/p/1FT-0004-001F3,,,,,005AM7QHS,2023-03-23 10:45:10
1FT-0004-001G3,NVIDIA Tesla K40 GPU Accelerator (Passive Cooling),NVIDIA,0.0,0,797.35,0.0,797.35,https://c1.neweggimages.com/ProductImageCompressAll300/AE7U_1_20170930720929979.jpg,https://www.newegg.com/p/1FT-0004-001G3,,,,,NVTK40,2023-03-23 10:45:10
1FT-0004-001J5,NVIDIA Quadro FX1800 600-50744 768Mb GDDR3 PCI-E Video Card,NVIDIA,0.0,0,134.0,0.0,134.0,https://c1.neweggimages.com/ProductImageCompressAll300/AE7U_1_20170930761122686.jpg,https://www.newegg.com/p/1FT-0004-001J5,,,,,-00LCBBVDQ,2023-03-23 10:45:10
1FT-0004-001K0,NVIDIA Quadro 4000M N12E-Q3-A1 2GB GDDR5 MXM 3.0B Video Card,NVIDIA,0.0,0,213.0,0.0,213.0,https://c1.neweggimages.com/ProductImageCompressAll300/AE7U_1_20170930921499914.jpg,https://www.newegg.com/p/1FT-0004-001K0,,,,,009P871VO,2023-03-23 10:45:10
1FT-0004-001K3,NVIDIA Tesla Kepler K20 GPU Accelerator for Server,NVIDIA,0.0,0,684.0,0.0,684.0,https://c1.neweggimages.com/ProductImageCompressAll300/AE7U_1_20170930284106333.jpg,https://www.newegg.com/p/1FT-0004-001K3,,,,,NVTESK205PS,2023-03-23 10:45:10
1FT-0004-001M1,NVIDIA Tesla K80 GPU Accelerator for Servers,NVIDIA,0.0,0,870.0,0.0,870.0,https://c1.neweggimages.com/ProductImageCompressAll300/AE7U_1_20170930913743159.jpg,https://www.newegg.com/p/1FT-0004-001M1,,,,,NVTK80,2023-03-23 10:45:10
1FT-0004-001M7,Quadro 2000 1GB Professional Video Card - OEM,NVIDIA,0.0,0,133.0,0.0,133.0,https://c1.neweggimages.com/ProductImageCompressAll300/AE7U_1_201709302123255986.jpg,https://www.newegg.com/p/1FT-0004-001M7,,,,,00ENIAQSG,2023-03-23 10:45:10
1FT-0004-001N9,"Geninue Dell nVidia GeForce G310 512MB PCIe High Profile Video Graphics Card, Compatible Part Numbers: FTGGG, M114N, G31DE, VUI-G310DE",NVIDIA,0.0,0,133.0,0.0,133.0,https://c1.neweggimages.com/ProductImageCompressAll300/AE7U_1_201709301111774645.jpg,https://www.newegg.com/p/1FT-0004-001N9,,,,,0-00FM4CAFW,2023-03-23 10:45:10
1FT-0004-001P4,NVIDIA PNY Quadro SDI Option 2 II Output Card VCQFXSDIOPT2 + Cables,NVIDIA,0.0,0,401.0,0.0,401.0,https://c1.neweggimages.com/ProductImageCompressAll300/AE8D_131542264752040228Jcbk2c6m7b.jpg,https://www.newegg.com/p/1FT-0004-001P4,,,,,VCQFXSDIOUTPUT-T,2023-03-23 10:45:10
